Task ,Refrence
"python - Getting TypeError: '(slice(None, None, None), 0)' is an invalid key - Stack Overflow",https://stackoverflow.com/questions/55291667/getting-typeerror-slicenone-none-none-0-is-an-invalid-key
"(slice(None, None, None), 0)' is an invalid key - Google Search",https://www.google.com/search?q=(slice(None%2C+None%2C+None)%2C+0)%27+is+an+invalid+key&rlz=1C1RXQR_enUS937US937&oq=(slice(None%2C+None%2C+None)%2C+0)%27+is+an+invalid+key&aqs=chrome..69i57j0l3j0i10i22i30j0i22i30.668j0j7&sourceid=chrome&ie=UTF-8
"(slice(None, None, None), 0)' is an invalid key - Google Search",https://www.google.com/search?q=(slice(None%2C+None%2C+None)%2C+0)%27+is+an+invalid+key&rlz=1C1RXQR_enUS937US937&oq=(slice(None%2C+None%2C+None)%2C+0)%27+is+an+invalid+key&aqs=chrome..69i57j0l3j0i10i22i30j0i22i30.668j0j7&sourceid=chrome&ie=UTF-8
A Complete K Mean Clustering Algorithm From Scratch in Python: Step by Step Guide | by Rashida Nasrin Sucky | Towards Data Science,https://towardsdatascience.com/a-complete-k-mean-clustering-algorithm-from-scratch-in-python-step-by-step-guide-1eb05cdcd461
k mean clustering from scratch on dataset - Google Search,https://www.google.com/search?q=k+mean+clustering+from+scratch+on+dtaset&rlz=1C1RXQR_enUS937US937&oq=k+mean+clustering+from+scratch+on+dtaset&aqs=chrome..69i57j69i64l3.14417j0j4&sourceid=chrome&ie=UTF-8
k mean clustering from scratch on dataset - Google Search,https://www.google.com/search?q=k+mean+clustering+from+scratch+on+dtaset&rlz=1C1RXQR_enUS937US937&oq=k+mean+clustering+from+scratch+on+dtaset&aqs=chrome..69i57j69i64l3.14417j0j4&sourceid=chrome&ie=UTF-8
python - Data-frame Object has no Attribute - Stack Overflow,https://stackoverflow.com/questions/38134643/data-frame-object-has-no-attribute
'DataFrame' object has no attribute 'convert_objects' - Google Search,https://www.google.com/search?q=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&rlz=1C1RXQR_enUS937US937&oq=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&aqs=chrome.0.69i59j0j0i22i30l5.627j0j7&sourceid=chrome&ie=UTF-8
df.convert_objects removed from pandas · Issue #52 · labscript-suite/lyse,https://github.com/labscript-suite/lyse/issues/52
'DataFrame' object has no attribute 'convert_objects' - Google Search,https://www.google.com/search?q=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&rlz=1C1RXQR_enUS937US937&oq=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&aqs=chrome.0.69i59j0j0i22i30l5.627j0j7&sourceid=chrome&ie=UTF-8
'DataFrame' object has no attribute 'convert_objects' - Google Search,https://www.google.com/search?q=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&rlz=1C1RXQR_enUS937US937&oq=%27DataFrame%27+object+has+no+attribute+%27convert_objects%27&aqs=chrome.0.69i59j0j0i22i30l5.627j0j7&sourceid=chrome&ie=UTF-8
How to solve Python NameError: name ‘logging’ is not defined? - Python Examples,https://pythonexamples.org/python-nameerror-name-logging-is-not-defined/
name 'logging' is not defined - Google Search,https://www.google.com/search?q=name+%27logging%27+is+not+defined&rlz=1C1RXQR_enUS937US937&oq=name+%27logging%27+is+not+defined&aqs=chrome..69i57j0i22i30l7.665j0j7&sourceid=chrome&ie=UTF-8
name 'logging' is not defined - Google Search,https://www.google.com/search?q=name+%27logging%27+is+not+defined&rlz=1C1RXQR_enUS937US937&oq=name+%27logging%27+is+not+defined&aqs=chrome..69i57j0i22i30l7.665j0j7&sourceid=chrome&ie=UTF-8
"array([False, False, False, ..., True, True, True]), 0) kmeans - Google Search",https://www.google.com/search?rlz=1C1RXQR_enUS937US937&sxsrf=ALeKk00owQv6cB0feJghgodhmGhr1uR6YQ%3A1615164980362&ei=NHZFYLbPFce-ggeliYHQCA&q=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&oq=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BggAEBYQHjoFCCEQqwJQxxdYvSxguTBoAXACeACAAXuIAcAGkgEDNy4ymAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=gws-wiz&ved=0ahUKEwi2uaG3vp_vAhVHn-AKHaVEAIoQ4dUDCA4&uact=5
"python - typeError help, plt.scatter reading my .csv as true/false rather than numerical values - Stack Overflow",https://stackoverflow.com/questions/56496692/typeerror-help-plt-scatter-reading-my-csv-as-true-false-rather-than-numerical
"array([False, False, False, ..., True, True, True]), 0) kmeans - Google Search",https://www.google.com/search?rlz=1C1RXQR_enUS937US937&sxsrf=ALeKk00owQv6cB0feJghgodhmGhr1uR6YQ%3A1615164980362&ei=NHZFYLbPFce-ggeliYHQCA&q=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&oq=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BggAEBYQHjoFCCEQqwJQxxdYvSxguTBoAXACeACAAXuIAcAGkgEDNy4ymAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=gws-wiz&ved=0ahUKEwi2uaG3vp_vAhVHn-AKHaVEAIoQ4dUDCA4&uact=5
"array([False, False, False, ..., True, True, True]), 0) kmeans - Google Search",https://www.google.com/search?rlz=1C1RXQR_enUS937US937&sxsrf=ALeKk00owQv6cB0feJghgodhmGhr1uR6YQ%3A1615164980362&ei=NHZFYLbPFce-ggeliYHQCA&q=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&oq=array%28%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D%29%2C+0%29++kmeans&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BggAEBYQHjoFCCEQqwJQxxdYvSxguTBoAXACeACAAXuIAcAGkgEDNy4ymAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=gws-wiz&ved=0ahUKEwi2uaG3vp_vAhVHn-AKHaVEAIoQ4dUDCA4&uact=5
"array([False, False, False, ..., True, True, True]), 0) - Google Search",https://www.google.com/search?q=array(%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D)%2C+0)&rlz=1C1RXQR_enUS937US937&oq=array(%5BFalse%2C+False%2C+False%2C+...%2C++True%2C++True%2C++True%5D)%2C+0)&aqs=chrome..69i57j0i22i30.675j0j7&sourceid=chrome&ie=UTF-8
"python - typeError help, plt.scatter reading my .csv as true/false rather than numerical values - Stack Overflow",https://stackoverflow.com/questions/56496692/typeerror-help-plt-scatter-reading-my-csv-as-true-false-rather-than-numerical
"array([False, False, False, ..., True, True, True]), 0) - Google Search",https://www.google.com/search?q=array(%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D)%2C+0)&rlz=1C1RXQR_enUS937US937&oq=array(%5BFalse%2C+False%2C+False%2C+...%2C++True%2C++True%2C++True%5D)%2C+0)&aqs=chrome..69i57j0i22i30.675j0j7&sourceid=chrome&ie=UTF-8
"array([False, False, False, ..., True, True, True]), 0) - Google Search",https://www.google.com/search?q=array(%5BFalse%2C+False%2C+False%2C+...%2C+True%2C+True%2C+True%5D)%2C+0)&rlz=1C1RXQR_enUS937US937&oq=array(%5BFalse%2C+False%2C+False%2C+...%2C++True%2C++True%2C++True%5D)%2C+0)&aqs=chrome..69i57j0i22i30.675j0j7&sourceid=chrome&ie=UTF-8
k_means_clustering.ipynb - Colaboratory,https://colab.research.google.com/drive/1uYlxQguyJ4EvydQCN8RyLNs1F0zPC1wV#scrollTo=d0ZYecccMHNx
k_means_clustering.ipynb - Colaboratory,https://colab.research.google.com/drive/1uYlxQguyJ4EvydQCN8RyLNs1F0zPC1wV#scrollTo=cjEfU6ZSMAPl
pandas.DataFrame.sort_values — pandas 1.2.3 documentation,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.sort_values.html
sort in decending order pandas - Google Search,https://www.google.com/search?rlz=1C1RXQR_enUS937US937&sxsrf=ALeKk00w181B-h2A9bFx-lgsfHTiYLPuzw%3A1615164740370&ei=RHVFYMWQFumg_QbmnbuwDw&q=sort+in+decending+order+pandas&oq=sort+in+decending+order+pandas&gs_lcp=Cgdnd3Mtd2l6EAMyBAgAEA0yBggAEBYQHjoHCAAQRxCwAzoHCCMQsAIQJzoHCCMQsQIQJzoECAAQCjoICAAQFhAKEB5QtxVYrypgnytoAXABeACAAY4BiAGNC5IBBDEzLjKYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=gws-wiz&ved=0ahUKEwjFwunEvZ_vAhVpUN8KHebODvYQ4dUDCA4&uact=5
sort in decending order pandas - Google Search,https://www.google.com/search?rlz=1C1RXQR_enUS937US937&sxsrf=ALeKk00w181B-h2A9bFx-lgsfHTiYLPuzw%3A1615164740370&ei=RHVFYMWQFumg_QbmnbuwDw&q=sort+in+decending+order+pandas&oq=sort+in+decending+order+pandas&gs_lcp=Cgdnd3Mtd2l6EAMyBAgAEA0yBggAEBYQHjoHCAAQRxCwAzoHCCMQsAIQJzoHCCMQsQIQJzoECAAQCjoICAAQFhAKEB5QtxVYrypgnytoAXABeACAAY4BiAGNC5IBBDEzLjKYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=gws-wiz&ved=0ahUKEwjFwunEvZ_vAhVpUN8KHebODvYQ4dUDCA4&uact=5
